iter	Passed	Remaining
482	684	732
483	685	730
484	687	729
485	688	728
486	694	731
487	695	730
488	696	728
489	697	726
490	698	723
491	700	722
492	701	721
493	702	719
494	703	717
495	704	715
496	705	714
497	707	712
498	708	711
499	709	709
500	710	707
501	711	705
502	712	704
503	713	702
504	715	700
505	716	699
506	717	697
507	718	695
508	720	694
509	721	693
510	723	692
511	724	690
512	726	689
513	727	688
514	729	687
515	730	685
516	731	683
517	732	681
518	734	680
519	736	679
520	737	678
521	738	676
522	740	675
523	743	675
524	744	673
525	745	671
526	746	670
527	748	668
528	749	667
529	751	666
530	753	665
531	754	663
532	756	662
533	756	660
534	758	659
535	760	658
536	760	656
537	763	655
538	764	653
539	765	652
540	767	650
541	768	649
542	770	648
543	772	647
544	774	646
545	775	644
546	780	646
547	782	645
548	783	643
549	785	642
550	787	641
551	788	640
552	790	639
553	792	637
554	793	635
555	795	634
556	796	633
557	798	632
558	800	631
559	800	629
560	802	627
561	803	626
562	804	624
563	806	623
564	808	622
565	810	621
566	811	619
567	813	618
568	815	617
569	816	616
570	818	614
571	819	613
572	820	611
573	822	610
574	824	609
575	825	607
576	827	606
577	828	604
578	830	603
579	831	602
580	833	601
581	835	600
582	836	598
583	837	596
584	838	595
585	840	594
586	841	592
587	843	591
588	845	590
589	846	588
590	847	586
591	849	585
592	851	584
593	852	583
594	855	582
595	856	580
596	858	579
597	860	578
598	861	576
599	862	575
600	863	573
601	864	571
602	866	570
603	867	568
604	869	567
605	869	565
606	871	564
607	871	562
608	872	560
609	873	558
610	875	557
611	876	555
612	877	553
613	877	551
614	878	550
615	879	548
616	881	547
617	882	545
618	883	543
619	884	542
620	885	540
621	886	538
622	888	537
623	889	535
624	891	534
625	891	532
626	892	531
627	893	529
628	894	527
629	896	526
630	897	524
631	902	525
632	905	524
633	906	523
634	907	521
635	908	519
636	909	518
637	910	516
638	911	515
639	912	513
640	913	511
641	914	509
642	915	508
643	916	506
644	917	505
645	918	503
646	919	501
647	921	500
648	923	499
649	924	497
650	926	496
651	927	495
652	929	494
653	931	492
654	933	491
655	935	490
656	936	489
657	938	487
658	940	486
659	941	485
660	943	483
661	945	482
662	946	480
663	947	479
664	948	478
665	950	476
666	952	475
667	953	473
668	954	472
669	955	470
670	957	469
671	958	468
672	960	466
673	961	465
674	962	463
675	963	461
676	964	460
677	967	459
678	968	457
679	968	455
680	969	454
681	970	452
682	971	450
683	972	449
684	973	447
685	975	446
686	977	445
687	978	443
688	979	442
689	981	440
690	982	439
691	983	437
692	984	436
693	985	434
694	987	433
695	989	432
696	989	430
697	991	428
698	992	427
699	994	426
700	995	424
701	997	423
702	999	422
703	1001	421
704	1003	419
705	1003	418
706	1006	417
707	1007	415
708	1008	413
709	1009	412
710	1010	410
711	1011	409
712	1017	409
713	1019	408
714	1021	407
715	1022	405
716	1023	404
717	1025	402
718	1026	401
719	1028	400
720	1030	398
721	1032	397
722	1034	396
723	1036	395
724	1038	393
725	1040	392
726	1042	391
727	1043	389
728	1045	388
729	1047	387
730	1048	386
731	1050	384
732	1052	383
733	1053	381
734	1055	380
735	1056	378
736	1057	377
737	1059	375
738	1060	374
739	1060	372
740	1062	371
741	1063	369
742	1064	368
743	1066	366
744	1067	365
745	1068	363
746	1070	362
747	1071	360
748	1072	359
749	1073	357
750	1074	356
751	1075	354
752	1076	353
753	1077	351
754	1078	349
755	1078	348
756	1080	346
757	1081	345
758	1082	343
759	1083	342
760	1084	340
761	1085	339
762	1086	337
763	1087	336
764	1088	334
765	1089	332
766	1091	331
767	1092	329
768	1093	328
769	1094	326
770	1095	325
771	1095	323
772	1096	321
773	1097	320
774	1098	318
775	1099	317
776	1100	315
777	1101	314
778	1102	312
779	1103	311
780	1105	310
781	1107	308
782	1109	307
783	1111	306
784	1113	304
785	1113	303
786	1115	301
787	1116	300
788	1124	300
789	1126	299
790	1128	298
791	1129	296
792	1131	295
793	1133	293
794	1134	292
795	1136	291
796	1137	289
797	1137	288
798	1139	286
799	1140	285
800	1142	283
801	1143	282
802	1145	280
803	1146	279
804	1148	278
805	1149	276
806	1150	275
807	1152	273
808	1153	272
809	1155	271
810	1157	269
811	1159	268
812	1159	266
813	1161	265
814	1162	263
815	1163	262
816	1165	261
817	1167	259
818	1169	258
819	1171	257
820	1172	255
821	1174	254
822	1176	252
823	1177	251
824	1178	249
825	1179	248
826	1181	247
827	1182	245
828	1183	244
829	1185	242
830	1187	241
831	1189	240
832	1191	238
833	1192	237
834	1193	235
835	1194	234
836	1195	232
837	1197	231
838	1198	229
839	1200	228
840	1201	227
841	1203	225
842	1204	224
843	1206	223
844	1208	221
845	1209	220
846	1211	218
847	1212	217
848	1213	215
849	1215	214
850	1216	213
851	1218	211
852	1220	210
853	1221	208
854	1223	207
855	1224	206
856	1227	204
857	1228	203
858	1230	201
859	1231	200
860	1232	198
861	1234	197
862	1235	196
863	1238	194
864	1242	193
865	1245	192
866	1246	191
867	1248	189
868	1249	188
869	1250	186
870	1251	185
871	1252	183
872	1253	182
873	1254	180
874	1255	179
875	1255	177
876	1257	176
877	1258	174
878	1259	173
879	1260	171
880	1261	170
881	1262	168
882	1263	167
883	1264	165
884	1265	164
885	1266	162
886	1266	161
887	1267	159
888	1268	158
889	1269	156
890	1270	155
891	1271	153
892	1272	152
893	1273	150
894	1274	149
895	1275	147
896	1276	146
897	1277	145
898	1278	143
899	1279	142
900	1280	140
901	1281	139
902	1282	137
903	1283	136
904	1284	134
905	1285	133
906	1286	131
907	1288	130
908	1289	129
909	1290	127
910	1291	126
911	1291	124
912	1292	123
913	1293	121
914	1295	120
915	1297	118
916	1299	117
917	1300	116
918	1302	114
919	1304	113
920	1305	111
921	1306	110
922	1307	109
923	1309	107
924	1309	106
925	1310	104
926	1311	103
927	1313	101
928	1314	100
929	1315	99
930	1316	97
931	1318	96
932	1320	94
933	1321	93
934	1322	91
935	1324	90
936	1326	89
937	1328	87
938	1329	86
939	1330	84
940	1331	83
941	1333	82
942	1335	80
943	1337	79
944	1338	77
945	1340	76
946	1341	75
947	1343	73
948	1344	72
949	1345	70
950	1347	69
951	1348	68
952	1350	66
953	1352	65
954	1353	63
955	1354	62
956	1355	60
957	1360	59
958	1363	58
959	1365	56
960	1367	55
961	1369	54
962	1371	52
963	1372	51
964	1374	49
965	1375	48
966	1376	46
967	1378	45
968	1380	44
969	1381	42
970	1383	41
971	1384	39
972	1385	38
973	1387	37
974	1389	35
975	1390	34
976	1392	32
977	1394	31
978	1395	29
979	1397	28
980	1399	27
981	1401	25
982	1402	24
983	1403	22
984	1406	21
985	1408	19
986	1410	18
987	1411	17
988	1413	15
989	1413	14
990	1415	12
991	1416	11
992	1419	10
993	1420	8
994	1422	7
995	1423	5
996	1424	4
997	1426	2
998	1427	1
999	1428	0
